"昔、ここは海でした。","昔[むかし]、ここは 海[うみ]でした。","In the past, here was an ocean.<br><br>昔[むかし] - past, a long time ago","En el pasado, aquí había un océano.<br><br>昔[むかし] - pasado, hace mucho tiempo","[sound:JLPT_Tango_N4_0012.mp3]","","単語N4"
"ある日、家の前に黒猫が居ました。","ある 日[ひ]、 家[いえ]の 前[まえ]に 黒[くろ] 猫[ねこ]が 居[い]ました。","One day, there was a black cat in front of the house.<br><br>ある 日[ひ] - one day<br><br>ある 日[ひ] is used to describe an unspecified day in the past. Also used to express an unrestricted point in time.","Un día, había un gato negro delante de la casa.<br><br>ある[ひ] 日[ひ] - un día<br><br>ある[ひ] 日[ひ] se utiliza para describir un día no especificado en el pasado. También se utiliza para expresar un punto no restringido en el tiempo.","[sound:JLPT_Tango_N4_0013.mp3]","","単語N4"
"この辺りは昼間は人が多いですが、夜は静かです。","この 辺[あた]りは 昼間[ひるま]は 人[ひと]が 多[おお]いですが、 夜[よる]は 静[しず]かです。","""This area is full of people during the day, but it's quiet at night.<br><br>昼間[ひるま] - daytime, day""","Esta zona está llena de gente durante el día, pero es tranquila por la noche.<br><br>昼間[ひるま] - de día, día","[sound:JLPT_Tango_N4_0014.mp3]","","単語N4"
"夕方から強い雨が降るそうです。","夕方[ゆうがた]から 強[つよ]い 雨[あめ]が 降[ふ]るそうです。","I heard that there will be heavy rain in the evening.<br><br>夕方[ゆうがた] - evening","He oído que habrá fuertes lluvias por la tarde.<br><br>夕方[ゆうがた] - tarde","[sound:JLPT_Tango_N4_0015.mp3]","","単語N4"
"毎日、夜中まで勉強しています。","毎日[まいにち]、 夜中[よなか]まで 勉強[べんきょう]しています。","I study late into the night everyday.<br><br>夜中[よなか] - late night","Estudio hasta altas horas de la noche todos los días.<br><br>夜中[よなか] - tarde en la noche","[sound:JLPT_Tango_N4_0016.mp3]","","単語N4"
"明日の午後までにメールを送って下さい。","明日[あす]の 午後[ごご]までにメールを 送[おく]って 下[くだ]さい。","Please send the e-mail by noon tomorrow.<br><br>明日[あす] - tomorrow<br><br>These characters are read as あす in a business context and あした in general conversation.","Por favor, envíe el correo electrónico antes del mediodía de mañana.<br><br>明日[あす] - mañana<br><br>Estos caracteres se leen como あす en un contexto de negocios y あした en una conversación general.","[sound:JLPT_Tango_N4_0017.mp3]","","単語N4"
"風邪を引いて、一昨日から熱があります。","風邪[かぜ]を 引[ひ]いて、 一昨日[おととい]から 熱[ねつ]があります。","I caught a cold, and have had a fever since the day before yesterday.<br><br>一昨日[おととい] - the day before yesterday","Me he resfriado y tengo fiebre desde anteayer.<br><br>一昨日[おととい] - anteayer","[sound:JLPT_Tango_N4_0018.mp3]","","単語N4"
"夕べ、家でパーティーをしました。","夕[ゆう]べ、 家[うち]でパーティーをしました。","I had a party at my house last night.<br><br>夕[ゆう]べ - evening, last night","Anoche tuve una fiesta en mi casa.<br><br>[夕[ゆう]べ - anoche, anoche","[sound:JLPT_Tango_N4_0019.mp3]","","単語N4"
"今夜はとても寒いです。","今夜[こんや]はとても 寒[さむ]いです。","It is very cold tonight.<br><br>今夜[こんや] - tonight","Hace mucho frío esta noche.<br><br>今夜[こんや] - esta noche","[sound:JLPT_Tango_N4_0020.mp3]","","単語N4"
"今週は、余り忙しくないです。","今週[こんしゅう]は、 余[あま]り 忙[いそが]しくないです。","""I'm not so busy this week.<br><br>今週[こんしゅう] - this week""","No estoy tan ocupado esta semana.<br><br>今週[こんしゅう] - esta semana","[sound:JLPT_Tango_N4_0021.mp3]","","単語N4"
"今月、大切なテストが３つもあります。","今月[こんげつ]、 大切[たいせつ]なテストが ３[みっ]つもあります。","I have three important tests this month.<br><br>今月[こんげつ] - this month","Tengo tres pruebas importantes este mes.<br><br>今月[こんげつ] - este mes","[sound:JLPT_Tango_N4_0022.mp3]","","単語N4"
"来週は忙しいので、再来週会いましょう。","来週[らいしゅう]は 忙[いそが]しいので、 再来週[さらいしゅう] 会[あ]いましょう。","""I'm busy next week, so let's meet the week after next.<br><br>再来週[さらいしゅう] - the week after next""","Estoy ocupado la semana que viene, así que quedemos la semana siguiente.<br><br>再来週[さらいしゅう] - la semana siguiente","[sound:JLPT_Tango_N4_0023.mp3]","","単語N4"
"再来月から１年間ニューヨークへ行きます。","再来月[さらいげつ]から１ 年間[ねんかん]ニューヨークへ 行[い]きます。","""I'm going to New York for a year starting from the month after next.<br><br>再来月[さらいげつ] - the month after next""","Me voy a Nueva York durante un año a partir del mes siguiente.<br><br>再来月[さらいげつ] - el mes siguiente","[sound:JLPT_Tango_N4_0024.mp3]","","単語N4"
"再来年、この国でオリンピックがあります。","再来年[さらいねん]、この 国[くに]でオリンピックがあります。","The year after next, the Olympics will be held in this country.<br><br>再来年[さらいねん] - the year after next","El año que viene, los Juegos Olímpicos se celebrarán en este país.<br><br>再来年[さらいねん] - el año que viene","[sound:JLPT_Tango_N4_0025.mp3]","","単語N4"
"日本へ来たのは一昨年の４月です。","日本[にほん]へ 来[き]たのは 一昨年[おととし]の ４月[しがつ]です。","I came to Japan in April of the year before last.<br><br>一昨年[おととし] - the year before last","Llegué a Japón en abril del año pasado.<br><br>一昨年[おととし] - el año pasado","[sound:JLPT_Tango_N4_0026.mp3]","","単語N4"
"毎週土曜日は友達とテニスをしています。","毎週[まいしゅう] 土曜日[どようび]は 友達[ともだち]とテニスをしています。","I play tennis with my friend on Saturday every week.<br><br>毎週[まいしゅう] - every week","Juego al tenis con mi amigo el sábado todas las semanas.<br><br>毎週[まいしゅう] - todas las semanas","[sound:JLPT_Tango_N4_0027.mp3]","","単語N4"
"毎月二十日にアルバイト代が貰えます。","毎月[まいつき] 二十日[はつか]にアルバイト 代[だい]が 貰[もら]えます。","I get paid for my part-time job on the 20 of every month.<br><br>毎月[まいつき] - every month","Me pagan por mi trabajo a tiempo parcial el 20 de cada mes.<br><br>毎月[まいつき] - cada mes","[sound:JLPT_Tango_N4_0028.mp3]","","単語N4"
"毎年、クリスマスに国へ帰ります。","毎年[まいとし]、クリスマスに 国[くに]へ 帰[かえ]ります。","I return to my country on Christmas of every year.<br><br>毎年[まいとし] - every year","Vuelvo a mi país en Navidad de cada año.<br><br>毎年[まいとし] - todos los años","[sound:JLPT_Tango_N4_0029.mp3]","","単語N4"
"平日は仕事がとても忙しいです。","平日[へいじつ]は 仕事[しごと]がとても 忙[いそが]しいです。","""I'm very busy at work on weekdays.<br><br>平日[へいじつ] - weekday""","Estoy muy ocupado en el trabajo entre semana.<br><br>平日[へいじつ] - día de la semana","[sound:JLPT_Tango_N4_0030.mp3]","","単語N4"
"最初に「あいうえお」を覚えました。","最初[さいしょ]に「あいうえお」を 覚[おぼ]えました。","I learned あいうえお first.<br><br>最初[さいしょ] - first","Aprendí あいうえお primero.<br><br>最初[さいしょ] - primero","[sound:JLPT_Tango_N4_0031.mp3]","","単語N4"
"テストの最中に教室を出てはいけません。","テストの 最中[さいちゅう]に 教室[きょうしつ]を 出[で]てはいけません。","Do not leave the classroom during the test.<br><br>最中[さいちゅう] - in the middle (of doing ~)","No salir del aula durante el examen.<br><br>最中[さいちゅう] - en medio (de hacer ~)","[sound:JLPT_Tango_N4_0032.mp3]","","単語N4"
"このバスは最後に東京駅に着きます。","このバスは 最後[さいご]に 東京[とうきょう] 駅[えき]に 着[つ]きます。","This bus will arrive at Tokyo Station last.<br><br>最後[さいご] - last","Este autobús llegará el último a la estación de Tokio.<br><br>最後[さいご] - último","[sound:JLPT_Tango_N4_0033.mp3]","","単語N4"
"A 「お昼御飯に行きましょう。」<br>B 「私はまだ仕事があるので、先に行って下さい。」","A 「お 昼[ひる] 御飯[ごはん]に 行[い]きましょう。」 <br>B 「 私[わたし]はまだ 仕事[しごと]があるので、 先[さき]に 行[い]って 下[くだ]さい。」","""A: Let's go eat lunch.<br>B: I still have some work to do, so please go ahead of me.<br><br>先[さき]に - first, before, ahead of""","A: Vamos a almorzar.<br>B: Todavía tengo trabajo que hacer, así que por favor ve delante de mí.<br><br>先[さき]に - primero, antes, delante de","[sound:JLPT_Tango_N4_0034.mp3]","","単語N4"
"夫は毎日遅くまで仕事をしています。","夫[おっと]は 毎日[まいにち] 遅[おそ]くまで 仕事[しごと]をしています。","""My husband works late everyday.<br><br>夫[おっと] - husband<br><br>Other people's husbands are referred to as ご 主人[しゅじん]""","Mi marido trabaja hasta tarde todos los días.<br><br>夫[おっと] - marido<br><br>Los maridos de otras personas se denominan ご[しゅじん] 主人[しゅじん]","[sound:JLPT_Tango_N4_0035.mp3]","","単語N4"
"妻はカレーが大好きです。","妻[つま]はカレーが 大好[だいす]きです。","""My wife loves curry.<br><br>妻[つま] - wife<br><br>Other people's wives are referred to as  奥[おく]さん""","A mi esposa le encanta el curry.<br><br>妻[つま] - esposa<br><br>A las esposas de otras personas se les llama 奥[おく]さん","[sound:JLPT_Tango_N4_0036.mp3]","","単語N4"
"両親はイギリスに住んでいます。","両親[りょうしん]はイギリスに 住[す]んでいます。","My parents live in England.<br><br>両親[りょうしん] - parents","Mis padres viven en Inglaterra.<br><br>両親[りょうしん] - padres","[sound:JLPT_Tango_N4_0037.mp3]","","単語N4"
"息子は小学校からサッカーをやっています。","息子[むすこ]は 小学校[しょうがっこう]からサッカーをやっています。","""My son has been playing soccer since elementary school.<br><br>息子[むすこ] - son<br><br>Other people's sons are referred to  息子[むすこ]さん。""","Mi hijo juega al fútbol desde la escuela primaria.<br><br>息子[むすこ] - hijo<br><br>Los hijos de otras personas se refieren a 息子[むすこ]さん。","[sound:JLPT_Tango_N4_0038.mp3]","","単語N4"
"娘は勉強よりスポーツの方が好きです。","娘[むすめ]は 勉強[べんきょう]よりスポーツの 方[ほう]が 好[す]きです。","""My daughter likes sports more than studying.<br><br>娘[むすめ] - daughter<br><br>Other people's daughters are referred to as 娘[むすめ]さん or お 嬢[じょう]さん。""","A mi hija le gusta más el deporte que el estudio.<br><br>娘[むすめ] - hija<br><br>Las hijas de otras personas se llaman 娘[むすめ]さん o お[じょう。 嬢[じょう]さん。","[sound:JLPT_Tango_N4_0039.mp3]","","単語N4"
"先生のお子さんは今中学生ですか。","先生[せんせい]のお 子[こ]さんは 今[いま] 中学生[ちゅうがくせい]ですか。","Is your child now a junior high school student?<br><br>お 子[こ]さん - child, children","¿Su hijo es ahora un estudiante de secundaria? <br><br>お[こ] 子[こ]さん - niño, niños","[sound:JLPT_Tango_N4_0040.mp3]","","単語N4"
"祖父は小学校の先生でした。","祖父[そふ]は 小学校[しょうがっこう]の 先生[せんせい]でした。","My grandfather was an elementary school teacher.<br><br>祖父[そふ] - grandfather<br><br>おじいさん can be used outside of the family to mean a elderly man.","Mi abuelo era profesor de primaria.<br><br>祖父[そふ] - abuelo<br><br>おじいさん puede usarse fuera de la familia para referirse a un hombre mayor.","[sound:JLPT_Tango_N4_0041.mp3]","","単語N4"
"私は祖母が大好きです。","私[わたし]は 祖母[そぼ]が 大好[だいす]きです。","I love my grandmother.<br><br>祖母[そぼ] - grandmother<br><br>おばあさん can be used outside of the family to mean a elderly woman.","Quiero a mi abuela.<br><br>祖母[そぼ] - abuela<br><br>おばあさん puede usarse fuera de la familia para significar una mujer mayor.","[sound:JLPT_Tango_N4_0042.mp3]","","単語N4"
"祖父と祖母には孫が８人居ます。","祖父[そふ]と 祖母[そぼ]には 孫[まご]が８ 人[にん] 居[い]ます。","""My grandfather and grandmother have eight grandchildren.<br><br>孫[まご] - grandchild<br><br>Other people's grandchildren are referred to as お 孫[まご]さん。""","Mi abuelo y mi abuela tienen ocho nietos.<br><br>孫[まご] - nieto<br><br>Los nietos de otras personas se denominan お[まご}。. 孫[まご]さん。","[sound:JLPT_Tango_N4_0043.mp3]","","単語N4"
"この叔父は母の弟です。","この 叔父[おじ]は 母[はは]の 弟[おとうと]です。","""This uncle is my mother's younger brother.<br><br>叔父[おじ] - uncle<br><br>叔父[おじ]さん can be used outside of the family to mean a middle-aged man.""","Este tío es el hermano menor de mi madre.<br><br>叔父[おじ] - tío<br><br>叔父[おじ]さん puede ser usado fuera de la familia para significar un hombre de mediana edad.","[sound:JLPT_Tango_N4_0044.mp3]","","単語N4"
"おばはとても料理が上手です。","おばはとても 料理[りょうり]が 上手[じょうず]です。","My aunt is very good at cooking.<br><br>おば - aunt<br><br>おばさん can be used outside of the family to mean a middle-aged woman.","Mi tía es muy buena cocinando.<br><br>おば - tía<br><br>おばさん puede usarse fuera de la familia para referirse a una mujer de mediana edad.","[sound:JLPT_Tango_N4_0045.mp3]","","単語N4"
"姉の結婚式に親戚が沢山来ます。","姉[あね]の 結婚式[けっこんしき]に 親戚[しんせき]が 沢山[たくさん] 来[き]ます。","""Many of my relatives are going to attend my older sister's wedding.<br><br>親戚[しんせき] - relatives""","Muchos de mis parientes van a asistir a la boda de mi hermana mayor.<br><br>親戚[しんせき] - parientes","[sound:JLPT_Tango_N4_0046.mp3]","","単語N4"
"このアパートでペットは飼えません。","このアパートでペットは 飼[か]えません。","You cannot have any pets in this apartment.<br><br>ペット - pet","No se pueden tener mascotas en este apartamento.<br><br>ペット - mascota","[sound:JLPT_Tango_N4_0047.mp3]","","単語N4"
"私は母に、姉は父に似ています。","私[わたし]は 母[はは]に、 姉[あね]は 父[ちち]に 似[に]ています。","I look like my mother and my older sister resembles my father.<br><br>似[に]る - to look similar to, to resemble<br><br>Usually used in the form  似[に]ている in actual sentences.","Me parezco a mi madre y mi hermana mayor se parece a mi padre.<br><br>似[に]る - parecerse, asemejarse<br><br>Suele utilizarse en la forma 似[に]ている en oraciones reales.","[sound:JLPT_Tango_N4_0048.mp3]","","単語N4"
"両親に心配を掛けてはいけません。","両親[りょうしん]に 心配[しんぱい]を 掛[か]けてはいけません。","""You mustn't make your parents worry.<br><br>（ 心配[しんぱい]を） 掛[か]ける - to make worry, to cause worry""","No debes hacer que tus padres se preocupen.<br><br>（ 心配[しんぱい]を） 掛[か]ける - hacer preocupar, causar preocupación","[sound:JLPT_Tango_N4_0049.mp3]","","単語N4"
"子供の時、母によく叱られました。","子供[こども]の 時[とき]、 母[はは]によく 叱[しか]られました。","I was often scolded by my mother when I was a child.<br><br>叱[しか]る - to scold","Mi madre me regañaba a menudo cuando era niño.<br><br>[叱[しか]る - regañar","[sound:JLPT_Tango_N4_0050.mp3]","","単語N4"
"テストで１００点を取って、父に褒められました。","テストで１００ 点[てん]を 取[と]って、 父[ちち]に 褒[ほ]められました。","I got 100 points on the test, and my father praised me.<br><br>褒[ほ]める - to praise","Obtuve 100 puntos en el examen, y mi padre me elogió.<br><br>褒[ほ]める - para elogiar","[sound:JLPT_Tango_N4_0051.mp3]","","単語N4"
"兎を飼ってみたいです。","兎[うさぎ]を 飼[か]ってみたいです。","I want to own a rabbit.<br><br>飼[か]う - to own, to have","Quiero tener un conejo.<br><br>飼[か]う - poseer, tener","[sound:JLPT_Tango_N4_0052.mp3]","","単語N4"
"今のアパートは前の所より広いです。","今[いま]のアパートは 前[まえ]の 所[ところ]より 広[ひろ]いです。","My current apartment is much more spacious than my old one.<br><br>アパート - apartment","Mi apartamento actual es mucho más espacioso que el anterior.<br><br>アパート - apartamento","[sound:JLPT_Tango_N4_0053.mp3]","","単語N4"
"うちのマンションは駅から歩いて３分です。","うちのマンションは 駅[えき]から 歩[ある]いて３ 分[ぷん]です。","My condominium is a three-minute walk from the station.<br><br>マンション - condominium","Mi condominio está a tres minutos a pie de la estación.<br><br>マンション - condominio","[sound:JLPT_Tango_N4_0054.mp3]","","単語N4"
"来月から家賃が少し高くなります。","来月[らいげつ]から 家賃[やちん]が 少[すこ]し 高[たか]くなります。","Rent is going to be a little higher starting next month.<br><br>家賃[やちん] - rent","El alquiler va a ser un poco más alto a partir del próximo mes.<br><br>家賃[やちん] - alquiler","[sound:JLPT_Tango_N4_0055.mp3]","","単語N4"
"マンションにはいつも管理人さんが居ます。","マンションにはいつも 管理[かんり] 人[にん]さんが 居[い]ます。","There is always a custodian in my condominium building.<br><br>管理[かんり] 人[にん] - custodian","Siempre hay un conserje en el edificio de mi condominio.<br><br>管理[かんり] 人[にん] - conserje","[sound:JLPT_Tango_N4_0056.mp3]","","単語N4"
"田中さんの住所を知っていますか。","田中[たなか]さんの 住所[じゅうしょ]を 知[し]っていますか。","""Do you know Tanaka-san's address?<br><br>住所[じゅうしょ] - address""","¿Sabes la dirección de Tanaka-san? <br><br>住所[じゅうしょ] - dirección","[sound:JLPT_Tango_N4_0057.mp3]","","単語N4"
"将来、大きい家を建てたいです。","将来[しょうらい]、 大[おお]きい 家[いえ]を 建[た]てたいです。","In the future, I want to build a big house.<br><br>建[た]てる - to build/to raise","En el futuro, quiero construir una casa grande.<br><br>建[た]てる - construir/levantar","[sound:JLPT_Tango_N4_0058.mp3]","","単語N4"
"隣に大きいビルが建ちました。","隣[となり]に 大[おお]きいビルが 建[た]ちました。","A big building was built next door.<br><br>建[た]つ - to be built","Se construyó un gran edificio al lado.<br><br>建[た]つ - a construir","[sound:JLPT_Tango_N4_0059.mp3]","","単語N4"
"ドアの所に傘を立てておきます。","ドアの 所[ところ]に 傘[かさ]を 立[た]てておきます。","""I'll stand my umbrella by the door.<br><br>立[た]てる - to stand (something)""","Pondré mi paraguas junto a la puerta.<br><br>立[た]てる - para poner de pie (algo)","[sound:JLPT_Tango_N4_0060.mp3]","","単語N4"
"家の前に大きい木が立っています。","家[いえ]の 前[まえ]に 大[おお]きい 木[き]が 立[た]っています。","There is a big tree standing in front of the house.<br><br>立[た]つ - to stand (up)","Hay un gran árbol de pie delante de la casa.<br><br>立[た]つ - para estar de pie (de pie)","[sound:JLPT_Tango_N4_0061.mp3]","","単語N4"
"明日は引っ越しです。","明日[あした]は 引[ひ]っ 越[こ]しです。","""I'm moving tomorrow.<br><br>引[ひ]っ 越[こ]し＜する＞ - moving""","Me mudo mañana.<br><br>引[ひ]っ 越[こ]し＜する＞ - moviendo","[sound:JLPT_Tango_N4_0062.mp3]","","単語N4"
"隣の部屋にテーブルを移しました。","隣[となり]の 部屋[へや]にテーブルを 移[うつ]しました。","I moved the table to the room next door.<br><br>移[うつ]す - to move/to relocate (something)","He trasladado la mesa a la habitación de al lado.<br><br>移[うつ]す - mover/reubicar (algo)","[sound:JLPT_Tango_N4_0063.mp3]","","単語N4"
"駅前のビルに郵便局が移ります。","駅前[えきまえ]のビルに 郵便[ゆうびん] 局[きょく]が 移[うつ]ります。","The post office moves to the building in front of the station.<br><br>移[うつ]る - to move/to relocate","La oficina de correos se traslada al edificio frente a la estación.<br><br>移[うつ]る - trasladarse/reubicarse","[sound:JLPT_Tango_N4_0064.mp3]","","単語N4"
"これは私の自宅の電話番号です。","これは 私[わたし]の 自宅[じたく]の 電話[でんわ] 番号[ばんごう]です。","""This is my home phone number.<br><br>自宅[じたく] - one's home""","Este es el número de teléfono de mi casa.<br><br>自宅[じたく]] - el de mi casa","[sound:JLPT_Tango_N4_0065.mp3]","","単語N4"
"先生のお宅はどちらですか。","先生[せんせい]のお 宅[たく]はどちらですか。","""Where is the teacher's residence?<br><br>お 宅[たく] - residence""","¿Dónde se encuentra la residencia del profesor? <br><br>お[たく] - residencia 宅[たく] - residencia","[sound:JLPT_Tango_N4_0066.mp3]","","単語N4"
"明日、友達の家を訪問します。","明日[あした]、 友達[ともだち]の 家[いえ]を 訪問[ほうもん]します。","""Tomorrow, I am going to visit my friend's house.<br><br>訪問[ほうもん]＜する＞ - visit""","Mañana, voy a visitar la casa de mi amigo.<br><br>訪問[ほうもん]＜する＞ - visita","[sound:JLPT_Tango_N4_0067.mp3]","","単語N4"
"今度の週末、友達を家に招待します。","今度[こんど]の 週末[しゅうまつ]、 友達[ともだち]を 家[いえ]に 招待[しょうたい]します。","I am going to invite my friend to my house this weekend.<br><br>招待[しょうたい]＜する＞ - invitation","Voy a invitar a mi amigo a mi casa este fin de semana.<br><br>招待[しょうたい]＜する＞ - invitación","[sound:JLPT_Tango_N4_0068.mp3]","","単語N4"
"近所に有名人が住んでいます。","近所[きんじょ]に 有名人[ゆうめいじん]が 住[す]んでいます。","A famous person lives nearby here.<br><br>近所[きんじょ] - nearby area, neighborhood","Una persona famosa vive cerca de aquí.<br><br>近所[きんじょ] - zona cercana, barrio","[sound:JLPT_Tango_N4_0069.mp3]","","単語N4"
"家の周りに桜の木があります。","家[いえ]の 周[まわ]りに 桜[さくら]の 木[き]があります。","There are cherry blossoms around the house.<br><br>周[まわ]り - around","Hay flores de cerezo alrededor de la casa.<br><br>周[まわ]り - alrededor","[sound:JLPT_Tango_N4_0070.mp3]","","単語N4"
"玄関に靴が沢山あります。","玄関[げんかん]に 靴[くつ]が 沢山[たくさん]あります。","There are many shoes in the entranceway.<br><br>玄関[げんかん] - entranceway","Hay muchos zapatos en la entrada.<br><br>玄関[げんかん] - entrada","[sound:JLPT_Tango_N4_0071.mp3]","","単語N4"
"入り口で部屋の番号を押して下さい。","入[い]り 口[ぐち]で 部屋[へや]の 番号[ばんごう]を 押[お]して 下[くだ]さい。","Please enter the room number at the entrance.<br><br>入[い]り 口[ぐち]（ 入[い]り 口[くち]） - entrance","Por favor, introduzca el número de habitación en la entrada.<br><br>入[い]り[ぐち]（ 入[い]り 口[ぐち]（ 入[い]り 口[くち]） - entrada","[sound:JLPT_Tango_N4_0072.mp3]","","単語N4"
"出掛ける時は鍵を掛けて下さい。","出掛[でか]ける 時[とき]は 鍵[かぎ]を 掛[か]けて 下[くだ]さい。","Please lock the door when you go out.<br><br>（ 鍵[かぎ]を） 掛[か]ける - to lock (a door, etc.)","Por favor, cierre la puerta cuando salga.<br><br>（ 鍵[かぎ]を） 掛[か]ける - cerrar (una puerta, etc.)","[sound:JLPT_Tango_N4_0073.mp3]","","単語N4"
"玄関のドアは鍵が掛かっています。","玄関[げんかん]のドアは 鍵[かぎ]が 掛[か]かっています。","The door in the entranceway is locked.<br><br>（ 鍵[かぎ]が） 掛[か]かる - to be locked","La puerta de la entrada está cerrada.<br><br>（ 鍵[かぎ]が） 掛[か]か） - estar cerrada con llave","[sound:JLPT_Tango_N4_0074.mp3]","","単語N4"
"部屋の壁を明るくしたいです。","部屋[へや]の 壁[かべ]を 明[あか]るくしたいです。","I want to make the walls in the room brighter.<br><br>壁[かべ] - wall","Quiero que las paredes de la habitación sean más brillantes.<br><br>壁[かべ] - pared","[sound:JLPT_Tango_N4_0075.mp3]","","単語N4"
"この廊下の右にトイレがあります。","この 廊下[ろうか]の 右[みぎ]にトイレがあります。","There is a bathroom on the right in this hallway.<br><br>廊下[ろうか] - hallway","Hay un baño a la derecha en este pasillo.<br><br>廊下[ろうか] - pasillo","[sound:JLPT_Tango_N4_0076.mp3]","","単語N4"
"家の台所は使いやすいです。","家[うち]の 台所[だいどころ]は 使[つか]いやすいです。","My kitchen is easy to use.<br><br>台所[だいどころ] - kitchen<br><br>The K in １Ｋのアパート means kitchen.","Mi cocina es fácil de usar.<br><br>台所[だいどころ] - cocina<br><br>La K de １Ｋのアパート significa cocina.","[sound:JLPT_Tango_N4_0077.mp3]","","単語N4"
"水道の水を飲んでも大丈夫です。","水道[すいどう]の 水[みず]を 飲[の]んでも 大丈夫[だいじょうぶ]です。","You can drink the water from the tap.<br><br>水道[すいどう] - water supply, tap","Puedes beber el agua del grifo.<br><br>水道[すいどう] - suministro de agua, grifo","[sound:JLPT_Tango_N4_0078.mp3]","","単語N4"
"地震でガスが止まってしまいました。","地震[じしん]でガスが 止[と]まってしまいました。","The gas stopped due to an earthquake.<br><br>ガス - gas","El gas se detuvo debido a un terremoto.<br><br>ガス - gas","[sound:JLPT_Tango_N4_0079.mp3]","","単語N4"
